epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1520.78,0.76358,0.42171,1.00696,0.97443,0.96189,0.97406,0.70884,0.60091,0.30576,0.94251,0.0091882,0.0091882,0.0091882
43,1556.33,0.74989,0.40693,1.003,0.97826,0.95326,0.97034,0.70815,0.5962,0.29613,0.9343,0.0091684,0.0091684,0.0091684
44,1592.09,0.75643,0.41321,1.00881,0.97315,0.95655,0.97435,0.71006,0.60269,0.2988,0.94187,0.0091486,0.0091486,0.0091486
45,1628.27,0.74146,0.41128,1.00169,0.96908,0.96679,0.97897,0.71899,0.59753,0.29523,0.93672,0.0091288,0.0091288,0.0091288
46,1664.19,0.7496,0.41282,1.00533,0.96433,0.96292,0.96605,0.70977,0.60957,0.31364,0.93467,0.009109,0.009109,0.009109
47,1699.89,0.7492,0.40905,1.00596,0.97147,0.94386,0.9713,0.70397,0.59377,0.31103,0.93661,0.0090892,0.0090892,0.0090892
48,1736.1,0.75107,0.42059,1.006,0.97518,0.95604,0.97352,0.71083,0.58826,0.29132,0.93119,0.0090694,0.0090694,0.0090694
49,1771.75,0.73966,0.40988,1.005,0.94987,0.95045,0.96887,0.70722,0.58428,0.28529,0.92483,0.0090496,0.0090496,0.0090496
50,1807.41,0.74165,0.40666,0.99919,0.97977,0.96192,0.97686,0.70925,0.59011,0.29691,0.93224,0.0090298,0.0090298,0.0090298
51,1843.03,0.73282,0.40115,0.99627,0.96641,0.95114,0.97064,0.71575,0.5823,0.27753,0.92987,0.00901,0.00901,0.00901
52,1878.99,0.72495,0.39975,0.99035,0.9731,0.96306,0.97186,0.70627,0.61112,0.28281,0.93089,0.0089902,0.0089902,0.0089902
53,1915.38,0.72135,0.39294,0.98886,0.96803,0.95823,0.97032,0.70958,0.59917,0.30418,0.93115,0.0089704,0.0089704,0.0089704
54,1951.4,0.73362,0.40518,0.99779,0.96489,0.95823,0.96616,0.70668,0.58749,0.27639,0.92844,0.0089506,0.0089506,0.0089506
55,1987.24,0.72636,0.40072,0.99552,0.96851,0.95055,0.96821,0.72297,0.5952,0.27909,0.93049,0.0089308,0.0089308,0.0089308
56,2023.35,0.73977,0.39787,0.99577,0.97503,0.95517,0.97055,0.71538,0.59292,0.29234,0.92889,0.008911,0.008911,0.008911
57,2059.21,0.72351,0.38895,0.99152,0.96772,0.96274,0.97112,0.70632,0.5988,0.281,0.92782,0.0088912,0.0088912,0.0088912
58,2095.14,0.71603,0.39442,0.99149,0.98102,0.95923,0.97885,0.7032,0.59989,0.28348,0.93601,0.0088714,0.0088714,0.0088714
59,2130.68,0.73625,0.39425,0.99265,0.98295,0.95346,0.97779,0.72281,0.58938,0.27945,0.92859,0.0088516,0.0088516,0.0088516
60,2166.75,0.71978,0.39315,0.9923,0.98627,0.95624,0.97718,0.71499,0.58305,0.2785,0.923,0.0088318,0.0088318,0.0088318
61,2202.68,0.72062,0.38419,0.9922,0.98308,0.96243,0.98111,0.72395,0.58414,0.2642,0.92395,0.008812,0.008812,0.008812
62,2238.81,0.71024,0.38358,0.98642,0.97351,0.96444,0.97896,0.72014,0.57318,0.267,0.92771,0.0087922,0.0087922,0.0087922
63,2274.99,0.71343,0.39021,0.99121,0.98024,0.97536,0.98001,0.71849,0.57625,0.25874,0.92335,0.0087724,0.0087724,0.0087724
64,2310.68,0.70954,0.38013,0.98685,0.97276,0.95723,0.97632,0.71831,0.57277,0.26999,0.92143,0.0087526,0.0087526,0.0087526
