                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                  1.024,                0.66655,                 1.1998,                0.93869,                0.88449,                0.93757,                0.60729,                0.90869,                0.64462,                 1.1742,              0.0097822,              0.0097822,              0.0097822
                     14,                  1.008,                0.64175,                 1.1953,                0.85854,                0.89631,                0.91214,                0.60355,                0.78582,                0.63034,                 1.1156,              0.0097624,              0.0097624,              0.0097624
                     15,                0.99858,                0.62254,                 1.1769,                0.81029,                0.88257,                0.93222,                 0.5907,                0.81986,                0.66659,                  1.159,              0.0097426,              0.0097426,              0.0097426
                     16,                0.99177,                0.62205,                 1.1747,                0.86872,                0.84483,                0.90384,                0.60133,                0.77946,                0.49449,                 1.0969,              0.0097228,              0.0097228,              0.0097228
                     17,                0.95803,                0.59587,                 1.1496,                0.90147,                0.95448,                0.96174,                0.61082,                0.79627,                0.54816,                 1.0975,               0.009703,               0.009703,               0.009703
                     18,                0.95064,                0.59132,                 1.1544,                0.86697,                 0.8392,                0.87936,                0.59101,                0.79243,                0.54468,                 1.1011,              0.0096832,              0.0096832,              0.0096832
                     19,                0.92788,                0.56491,                  1.132,                0.82751,                0.78753,                0.80426,                0.55338,                0.81994,                0.48308,                 1.1223,              0.0096634,              0.0096634,              0.0096634
                     20,                0.95853,                0.58541,                 1.1612,                0.95921,                0.90837,                0.94004,                0.62166,                0.77351,                0.50637,                 1.1057,              0.0096436,              0.0096436,              0.0096436
                     21,                0.95717,                0.58448,                 1.1551,                0.92895,                0.92506,                  0.972,                0.63908,                0.76195,                 0.4527,                  1.075,              0.0096238,              0.0096238,              0.0096238
                     22,                0.91391,                0.54677,                 1.1278,                0.92027,                0.81162,                0.88168,                 0.5772,                0.77696,                0.43651,                 1.0992,               0.009604,               0.009604,               0.009604
                     23,                0.91135,                0.55407,                 1.1296,                0.99051,                 0.8875,                0.94482,                0.62834,                0.76324,                0.44424,                 1.1012,              0.0095842,              0.0095842,              0.0095842
                     24,                0.92884,                0.55829,                 1.1376,                0.87266,                0.83773,                0.88696,                0.59547,                0.78281,                 0.5464,                 1.0862,              0.0095644,              0.0095644,              0.0095644
                     25,                0.92453,                0.55904,                 1.1244,                0.92728,                0.84586,                0.93599,                0.59893,                0.79388,                0.46863,                 1.1147,              0.0095446,              0.0095446,              0.0095446
                     26,                0.91761,                0.55853,                  1.124,                0.92689,                0.90768,                0.92857,                0.62407,                0.71849,                0.47734,                 1.0608,              0.0095248,              0.0095248,              0.0095248
                     27,                0.87567,                0.51667,                 1.1035,                0.98455,                 0.9103,                0.95502,                0.65189,                0.73156,                0.41141,                 1.0548,               0.009505,               0.009505,               0.009505
                     28,                0.88343,                0.52243,                 1.1063,                0.93212,                0.88956,                0.94316,                0.63273,                0.78179,                0.42669,                 1.0951,              0.0094852,              0.0094852,              0.0094852
                     29,                0.89796,                0.52889,                 1.1212,                0.97824,                0.89042,                 0.9125,                0.56329,                 0.8017,                0.45089,                 1.1044,              0.0094654,              0.0094654,              0.0094654
                     30,                0.91526,                0.53629,                 1.1234,                0.94517,                0.93291,                0.93183,                0.63009,                0.72976,                0.46625,                 1.0675,              0.0094456,              0.0094456,              0.0094456
                     31,                0.87508,                0.51513,                 1.1077,                 0.9581,                0.94128,                0.97585,                0.65106,                0.74146,                0.40665,                 1.0747,              0.0094258,              0.0094258,              0.0094258
                     32,                0.86406,                0.49132,                 1.1019,                0.96393,                 0.9103,                0.94419,                0.64382,                0.76879,                0.41038,                 1.1036,               0.009406,               0.009406,               0.009406
                     33,                0.88389,                0.50044,                 1.0978,                0.98373,                0.94478,                0.97677,                0.62793,                0.76856,                0.40554,                 1.0507,              0.0093862,              0.0093862,              0.0093862
                     34,                0.85914,                0.49426,                 1.0926,                0.98691,                0.96202,                 0.9818,                0.64139,                0.73922,                0.40858,                 1.0561,              0.0093664,              0.0093664,              0.0093664
                     35,                0.88898,                0.50278,                 1.1103,                0.99608,                0.92214,                0.96332,                0.62493,                0.73888,                0.40892,                 1.0585,              0.0093466,              0.0093466,              0.0093466
                     36,                0.89481,                0.52237,                 1.1269,                0.96294,                0.89306,                0.93932,                0.63992,                0.77097,                0.42181,                 1.0799,              0.0093268,              0.0093268,              0.0093268
                     37,                0.90762,                0.52425,                 1.1099,                0.71137,                0.81686,                0.81434,                0.53908,                0.87463,                 1.0511,                  1.225,               0.009307,               0.009307,               0.009307
                     38,                0.86109,                0.48958,                 1.0904,                 0.9764,                0.96202,                0.98157,                0.64192,                0.73388,                0.45219,                 1.0577,              0.0092872,              0.0092872,              0.0092872
                     39,                0.87178,                0.50419,                 1.1074,                0.92615,                  0.939,                0.95263,                 0.6386,                0.71605,                 0.4253,                 1.0441,              0.0092674,              0.0092674,              0.0092674
                     40,                0.87595,                0.48966,                 1.0954,                0.91104,                 0.9103,                0.96358,                0.65325,                0.74248,                0.38752,                 1.0594,              0.0092476,              0.0092476,              0.0092476
                     41,                0.84847,                 0.4825,                 1.0968,                0.98375,                0.80685,                0.89011,                0.57079,                0.76677,                0.49376,                  1.105,              0.0092278,              0.0092278,              0.0092278
                     42,                0.83909,                0.47088,                 1.0778,                0.95318,                0.92602,                0.95514,                0.65541,                0.69991,                0.38377,                 1.0369,               0.009208,               0.009208,               0.009208
                     43,                0.85444,                 0.4754,                 1.0838,                0.95584,                0.96202,                0.97651,                0.65784,                0.73783,                0.41494,                 1.0595,              0.0091882,              0.0091882,              0.0091882
                     44,                0.83928,                0.48745,                 1.0876,                0.93924,                0.94478,                0.96272,                0.63924,                0.72494,                0.41532,                 1.0545,              0.0091684,              0.0091684,              0.0091684
                     45,                0.82517,                0.47637,                 1.0697,                 0.9633,                0.95852,                 0.9673,                0.65063,                 0.7458,                0.38326,                 1.0631,              0.0091486,              0.0091486,              0.0091486
                     46,                0.82569,                0.45316,                 1.0749,                0.98073,                0.95897,                0.98092,                0.65877,                0.70687,                0.38869,                 1.0379,              0.0091288,              0.0091288,              0.0091288
                     47,                0.82123,                0.46751,                 1.0623,                0.93922,                0.94478,                0.97462,                0.63675,                0.76516,                 0.5354,                 1.0601,               0.009109,               0.009109,               0.009109
                     48,                 0.8379,                0.47465,                 1.0716,                0.97752,                0.94478,                  0.975,                 0.6453,                0.71541,                0.37266,                 1.0367,              0.0090892,              0.0090892,              0.0090892
                     49,                0.81008,                0.45884,                  1.063,                0.91738,                0.96202,                0.96184,                0.64271,                0.71309,                0.39136,                 1.0454,              0.0090694,              0.0090694,              0.0090694
                     50,                0.81863,                0.45174,                 1.0601,                0.92361,                0.97926,                0.96507,                0.63974,                0.67976,                0.35697,                  1.017,              0.0090496,              0.0090496,              0.0090496
                     51,                 0.7951,                0.44394,                 1.0579,                0.99479,                 0.9103,                0.97335,                0.67258,                0.69327,                 0.3729,                 1.0295,              0.0090298,              0.0090298,              0.0090298
                     52,                0.80864,                0.43694,                 1.0677,                0.95047,                0.94478,                0.96166,                 0.6551,                0.70043,                 0.3637,                  1.047,                0.00901,                0.00901,                0.00901
                     53,                0.83933,                0.46089,                 1.0838,                0.89564,                0.95415,                0.92928,                0.62923,                0.77117,                0.39667,                 1.0853,              0.0089902,              0.0089902,              0.0089902
                     54,                0.83243,                0.47674,                 1.0849,                0.97867,                0.93985,                0.98438,                0.68175,                0.71158,                0.39439,                  1.038,              0.0089704,              0.0089704,              0.0089704
                     55,                0.80355,                0.45474,                  1.058,                0.93043,                0.96171,                0.97616,                0.67529,                 0.7049,                0.37543,                 1.0455,              0.0089506,              0.0089506,              0.0089506
                     56,                0.80257,                0.44091,                 1.0535,                0.96116,                0.92754,                0.96749,                0.67245,                 0.7077,                0.37825,                 1.0453,              0.0089308,              0.0089308,              0.0089308
                     57,                0.79937,                0.43942,                 1.0634,                 0.9792,                0.96202,                0.98196,                0.63734,                0.70597,                0.41525,                 1.0278,               0.008911,               0.008911,               0.008911
                     58,                0.81256,                0.44633,                 1.0688,                0.94416,                0.96202,                0.96479,                0.66487,                0.68818,                 0.3574,                 1.0217,              0.0088912,              0.0088912,              0.0088912
                     59,                0.80574,                0.44569,                 1.0664,                 0.9842,                0.94128,                0.96414,                0.65718,                0.72401,                0.40453,                 1.0267,              0.0088714,              0.0088714,              0.0088714
                     60,                0.79371,                0.44808,                 1.0561,                0.96194,                0.96202,                0.97531,                 0.6652,                0.73531,                0.40469,                 1.0472,              0.0088516,              0.0088516,              0.0088516
                     61,                0.79257,                0.44002,                 1.0487,                0.97911,                0.96202,                0.97722,                0.65884,                  0.742,                0.36046,                 1.0385,              0.0088318,              0.0088318,              0.0088318
                     62,                0.79842,                0.43829,                 1.0545,                0.97735,                0.94478,                0.97598,                0.64801,                0.71676,                0.35585,                 1.0471,               0.008812,               0.008812,               0.008812
                     63,                0.78875,                0.42905,                  1.054,                0.91602,                 0.9965,                0.96332,                 0.6487,                0.71442,                 0.3731,                 1.0266,              0.0087922,              0.0087922,              0.0087922
                     64,                0.77913,                0.42636,                 1.0474,                0.99126,                0.92754,                0.97654,                0.68602,                0.70662,                0.35437,                 1.0337,              0.0087724,              0.0087724,              0.0087724
                     65,                0.79906,                0.43607,                 1.0602,                0.97639,                0.98855,                0.99326,                0.64778,                0.69013,                0.35259,                 1.0274,              0.0087526,              0.0087526,              0.0087526
                     66,                0.77889,                0.42878,                 1.0442,                0.97643,                0.96202,                0.98983,                0.68819,                0.69952,                0.34616,                 1.0283,              0.0087328,              0.0087328,              0.0087328
                     67,                0.79098,                0.42849,                  1.057,                0.93068,                0.94128,                0.96225,                0.67601,                0.70575,                0.35271,                 1.0313,               0.008713,               0.008713,               0.008713
                     68,                 0.7766,                0.41833,                 1.0502,                0.97643,                0.95799,                0.98217,                0.66491,                0.72734,                0.35672,                 1.0337,              0.0086932,              0.0086932,              0.0086932
                     69,                0.76249,                0.41363,                 1.0471,                0.97793,                0.99301,                0.99126,                0.68227,                0.72361,                0.35191,                 1.0422,              0.0086734,              0.0086734,              0.0086734
                     70,                0.77409,                0.41666,                 1.0429,                0.97778,                 0.9396,                0.98454,                 0.6981,                0.69757,                0.35283,                  1.036,              0.0086536,              0.0086536,              0.0086536
                     71,                0.75665,                0.41317,                 1.0408,                0.99531,                0.97459,                0.99087,                 0.6959,                0.71381,                0.36362,                 1.0254,              0.0086338,              0.0086338,              0.0086338
                     72,                0.78518,                0.42175,                 1.0474,                0.91662,                0.97577,                0.98636,                0.67563,                0.69865,                0.36631,                 1.0272,               0.008614,               0.008614,               0.008614
                     73,                0.77679,                0.41539,                 1.0475,                0.95038,                0.99616,                0.98706,                0.68172,                0.72919,                0.34295,                 1.0423,              0.0085942,              0.0085942,              0.0085942
                     74,                0.77014,                 0.4139,                 1.0331,                0.93572,                0.96197,                0.98343,                 0.6691,                0.73189,                0.35858,                 1.0431,              0.0085744,              0.0085744,              0.0085744
                     75,                0.76036,                0.41478,                 1.0434,                0.95812,                0.96005,                0.98791,                0.68647,                0.71845,                 0.3485,                  1.041,              0.0085546,              0.0085546,              0.0085546
                     76,                0.74908,                 0.4002,                 1.0338,                 0.9448,                0.97926,                0.98872,                 0.7125,                0.69738,                0.31909,                 1.0282,              0.0085348,              0.0085348,              0.0085348
                     77,                0.76413,                 0.4121,                 1.0424,                0.99052,                0.96202,                0.98219,                0.70505,                0.71053,                0.36077,                 1.0445,               0.008515,               0.008515,               0.008515
                     78,                0.75045,                 0.4082,                 1.0341,                0.95867,                0.97887,                0.98728,                 0.6949,                0.69408,                0.33531,                 1.0199,              0.0084952,              0.0084952,              0.0084952
                     79,                0.74739,                0.39912,                 1.0305,                0.97864,                0.94128,                 0.9902,                0.67093,                0.71507,                0.35634,                 1.0299,              0.0084754,              0.0084754,              0.0084754
                     80,                0.74677,                 0.4043,                 1.0304,                0.93013,                 0.9965,                 0.9671,                0.68027,                0.68356,                0.33045,                 1.0325,              0.0084556,              0.0084556,              0.0084556
                     81,                0.74906,                 0.3963,                 1.0294,                0.96126,                0.96202,                0.96692,                0.66811,                0.71211,                 0.3402,                 1.0299,              0.0084358,              0.0084358,              0.0084358
                     82,                0.74953,                0.40593,                  1.035,                 0.9913,                0.96139,                0.98847,                0.67758,                0.70489,                 0.3226,                 1.0219,               0.008416,               0.008416,               0.008416
                     83,                0.73738,                0.40641,                 1.0314,                0.99075,                0.92754,                0.98132,                0.68563,                 0.6855,                0.32914,                  1.012,              0.0083962,              0.0083962,              0.0083962
                     84,                0.72145,                0.38909,                  1.018,                0.96287,                 0.9787,                0.97918,                0.69365,                0.68431,                0.33985,                  1.017,              0.0083764,              0.0083764,              0.0083764
                     85,                0.71901,                0.38818,                 1.0189,                0.95976,                0.96202,                0.97815,                0.68984,                0.68362,                0.31536,                 1.0304,              0.0083566,              0.0083566,              0.0083566
                     86,                0.71264,                0.38029,                 1.0194,                0.97491,                0.97577,                 0.9707,                0.67317,                0.71271,                 0.3329,                 1.0316,              0.0083368,              0.0083368,              0.0083368
                     87,                0.71686,                0.39221,                 1.0151,                0.95852,                0.97577,                0.97295,                0.67667,                 0.6876,                0.32537,                 1.0239,               0.008317,               0.008317,               0.008317
                     88,                0.72628,                0.40163,                 1.0251,                0.96151,                 0.9965,                0.98556,                0.68322,                0.71955,                0.33913,                 1.0421,              0.0082972,              0.0082972,              0.0082972
                     89,                0.74227,                0.39513,                 1.0315,                0.96312,                0.96089,                0.97941,                 0.6646,                0.70933,                0.33069,                 1.0288,              0.0082774,              0.0082774,              0.0082774
                     90,                0.74825,                0.41284,                 1.0285,                0.94665,                0.97926,                0.97054,                0.68068,                0.69628,                0.32411,                 1.0307,              0.0082576,              0.0082576,              0.0082576
                     91,                0.72896,                0.39708,                 1.0232,                0.96275,                0.96202,                0.97592,                0.66074,                0.69547,                0.37666,                 1.0273,              0.0082378,              0.0082378,              0.0082378
                     92,                0.73664,                0.39501,                 1.0273,                 0.9484,                 0.9965,                0.97234,                0.65706,                0.72625,                0.32709,                 1.0429,               0.008218,               0.008218,               0.008218
                     93,                0.72716,                  0.392,                 1.0267,                0.94805,                 0.9772,                0.97319,                0.66657,                0.68214,                 0.3284,                 1.0133,              0.0081982,              0.0081982,              0.0081982
                     94,                 0.7378,                0.39342,                 1.0268,                 0.9723,                0.97926,                0.97691,                0.67054,                0.69955,                 0.3227,                 1.0322,              0.0081784,              0.0081784,              0.0081784
                     95,                0.73248,                 0.3961,                 1.0244,                0.97851,                0.95926,                 0.9787,                0.66257,                0.70493,                0.33225,                 1.0154,              0.0081586,              0.0081586,              0.0081586
                     96,                0.73014,                0.38761,                 1.0192,                0.97825,                0.97917,                0.99077,                0.68277,                0.70839,                0.32373,                 1.0291,              0.0081388,              0.0081388,              0.0081388
