                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5062,                 1.5954,                 1.5331,                  2e-05,                0.01724,                  1e-05,                      0,                    nan,                    nan,                    nan,               0.070238,              0.0033069,              0.0033069
                      2,                 1.3998,                 1.0936,                  1.451,                 0.8296,                0.59224,                0.69939,                0.39329,                 1.2971,                 3.0884,                 1.7899,               0.040225,              0.0066271,              0.0066271
                      3,                 1.3644,                0.99183,                 1.3938,                0.66609,                 0.7048,                0.68668,                0.33615,                 1.4315,                 1.7247,                 1.9921,               0.010199,               0.009934,               0.009934
                      4,                 1.2601,                0.90117,                 1.3362,                0.95349,                0.64794,                0.78023,                 0.4736,                  1.046,                 1.1709,                  1.365,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.2208,                0.86597,                 1.3065,                  0.825,                0.69569,                0.71111,                0.42392,                0.98494,                0.92793,                 1.3117,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1442,                0.79662,                  1.279,                0.75005,                0.66083,                 0.8105,                0.51776,                 1.0108,                0.84847,                 1.3109,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1439,                0.78409,                 1.2657,                0.84479,                0.86532,                0.89524,                0.56956,                0.88875,                0.87013,                 1.1791,               0.009901,               0.009901,               0.009901
                      8,                 1.0816,                0.70799,                 1.2249,                 0.9327,                0.78261,                0.86329,                0.53638,                0.95985,                0.59707,                 1.2178,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.0566,                0.70983,                 1.2166,                 0.9453,                0.70766,                0.81678,                0.54065,                0.86552,                0.61317,                 1.1979,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.0405,                0.66339,                  1.213,                0.86563,                0.76871,                0.82573,                0.52247,                0.91787,                0.53521,                 1.2154,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.0545,                0.64862,                 1.2059,                0.54616,                0.85158,                0.83011,                0.55658,                0.85179,                0.72629,                 1.1581,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.0346,                0.65942,                 1.1979,                0.86772,                0.79636,                0.85366,                0.54649,                0.83509,                0.62197,                 1.1503,               0.009802,               0.009802,               0.009802
