                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0064,                  1.535,                 1.0873,                0.95403,                0.92945,                0.93909,                0.66481,                0.76016,                0.45125,                0.89968,              0.0033069,              0.0033069,              0.0033069
                      2,                0.92972,                0.64734,                  1.048,                0.95456,                0.85508,                0.92733,                 0.6109,                0.84772,                0.76739,                0.95706,              0.0066271,              0.0066271,              0.0066271
                      3,                0.98883,                0.69092,                 1.0696,                0.89045,                0.92754,                0.94648,                0.59514,                0.88603,                0.88141,                 1.0122,               0.009934,               0.009934,               0.009934
                      4,                 1.0353,                0.73568,                 1.0752,                0.98491,                 0.9068,                0.96581,                0.61309,                0.91676,                0.54566,                0.95576,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0171,                0.67372,                 1.0791,                 0.8536,                0.87581,                0.85395,                0.53456,                0.88189,                0.59156,                0.97952,              0.0099406,              0.0099406,              0.0099406
                      6,                 0.9934,                0.63915,                  1.082,                0.87858,                0.93103,                 0.9465,                0.55174,                0.97184,                0.68994,                 1.0178,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.0021,                0.63499,                  1.093,                0.94626,                0.90854,                0.95192,                0.59176,                0.82743,                0.56372,                0.95522,               0.009901,               0.009901,               0.009901
                      8,                0.96651,                0.60337,                 1.0603,                0.95374,                 0.9445,                0.95899,                0.61882,                0.84634,                0.59073,                0.96009,              0.0098812,              0.0098812,              0.0098812
                      9,                0.96584,                0.59586,                  1.072,                0.92112,                0.85857,                0.89295,                0.56194,                0.86705,                0.53784,                0.96011,              0.0098614,              0.0098614,              0.0098614
                     10,                0.95302,                0.58994,                 1.0767,                0.88389,                0.96552,                0.96336,                 0.6259,                0.82027,                0.53363,                0.97514,              0.0098416,              0.0098416,              0.0098416
                     11,                0.93223,                0.56226,                 1.0617,                0.97489,                0.92653,                0.96996,                0.63373,                0.79018,                0.53568,                0.97106,              0.0098218,              0.0098218,              0.0098218
                     12,                0.94525,                0.56448,                 1.0564,                0.98784,                 0.9068,                0.95893,                0.65097,                 0.7817,                0.54219,                0.95154,               0.009802,               0.009802,               0.009802
                     13,                0.90042,                0.54607,                 1.0591,                 0.9921,                0.96115,                0.98065,                0.66346,                0.78045,                 0.5119,                0.98435,              0.0097822,              0.0097822,              0.0097822
                     14,                0.90291,                0.54765,                 1.0533,                0.94319,                0.92283,                0.96036,                0.65158,                0.82284,                0.59104,                0.96589,              0.0097624,              0.0097624,              0.0097624
                     15,                0.90437,                0.54464,                 1.0472,                0.97205,                0.94128,                0.97555,                0.64511,                0.83052,                0.52857,                0.95044,              0.0097426,              0.0097426,              0.0097426
