epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6641,1.29878,1.0925,1.2934,0.69982,0.62886,0.64503,0.34464,1.24408,1.97002,1.36859,0.0700679,0.00332579,0.00332579
2,96.8747,1.21686,0.89927,1.24222,0.65134,0.66058,0.67332,0.33008,1.67481,1.75855,1.89957,0.0400547,0.00664594,0.00664594
3,141.175,1.11399,0.78468,1.18157,0.93586,0.8987,0.93618,0.59836,0.84829,0.71075,1.06135,0.0100283,0.00995289,0.00995289
4,185.351,1.0419,0.6858,1.1418,0.93768,0.87469,0.94256,0.61114,0.83368,0.70485,1.04331,0.0099406,0.0099406,0.0099406
5,229.963,1.00285,0.65234,1.12214,0.94955,0.89156,0.95853,0.63303,0.78507,0.52262,1.02843,0.0099208,0.0099208,0.0099208
6,274.165,0.97908,0.62911,1.10988,0.88378,0.92214,0.94893,0.63218,0.74147,0.5694,1.01075,0.009901,0.009901,0.009901
7,318.504,0.93259,0.60512,1.09301,0.95386,0.90869,0.95633,0.64496,0.73867,0.55776,1.01496,0.0098812,0.0098812,0.0098812
8,363.754,0.92305,0.57807,1.07724,0.92984,0.93511,0.95683,0.65204,0.70087,0.47842,1.00789,0.0098614,0.0098614,0.0098614
9,408.38,0.89464,0.56189,1.06838,0.95572,0.91207,0.94537,0.64093,0.69979,0.47396,0.99748,0.0098416,0.0098416,0.0098416
10,453.135,0.88652,0.54596,1.06298,0.97397,0.92391,0.96441,0.65561,0.71403,0.52205,0.99421,0.0098218,0.0098218,0.0098218
11,497.919,0.87332,0.52977,1.06238,0.94399,0.9434,0.96819,0.64707,0.66667,0.43215,0.97557,0.009802,0.009802,0.009802
12,542.82,0.85891,0.51904,1.05181,0.97111,0.9488,0.96898,0.6681,0.66229,0.38814,0.96247,0.0097822,0.0097822,0.0097822
13,587.543,0.86196,0.50546,1.05627,0.95735,0.95155,0.97021,0.6746,0.63473,0.56926,0.96033,0.0097624,0.0097624,0.0097624
14,632.391,0.85402,0.50785,1.05039,0.96341,0.93107,0.97059,0.65711,0.67911,0.39129,0.96922,0.0097426,0.0097426,0.0097426
15,677.36,0.83378,0.49737,1.04197,0.95039,0.96926,0.97418,0.68644,0.66562,0.38405,0.97781,0.0097228,0.0097228,0.0097228
