                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5504,                 1.4413,                  1.648,                0.76794,                0.49736,                 0.6332,                0.34334,                 1.2495,                 5.3627,                 1.5507,               0.070054,              0.0033273,              0.0033273
                      2,                 1.3758,                 1.0533,                 1.5166,                0.85643,                0.78125,                0.85322,                0.50033,                 1.2068,                 3.3723,                 1.4416,               0.040041,              0.0066474,              0.0066474
                      3,                 1.2649,                0.95222,                 1.4398,                0.91223,                 0.8062,                0.89117,                0.54895,                0.98253,                  2.608,                 1.2768,               0.010015,              0.0099544,              0.0099544
                      4,                 1.2159,                0.86757,                 1.3982,                0.90387,                0.82574,                0.88634,                0.56706,                0.84957,                 4.7931,                  1.184,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1578,                0.82043,                 1.3594,                0.90856,                 0.8472,                0.90242,                0.56449,                0.82648,                 2.5537,                 1.1672,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1187,                0.78299,                 1.3261,                0.95381,                0.88316,                0.95493,                 0.6044,                0.83885,                 1.8627,                  1.138,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1157,                0.73609,                 1.3101,                0.88739,                0.84248,                0.89826,                0.57882,                0.83141,                 3.1325,                  1.104,               0.009901,               0.009901,               0.009901
                      8,                 1.0699,                0.70134,                 1.2862,                0.93419,                0.91086,                0.95367,                0.62769,                0.84443,                  1.133,                 1.1136,              0.0098812,              0.0098812,              0.0098812
