,video,release,video_start,video_end
0,1,3.466666666666667,2466.666666666667,6966.666666666667
1,2,13.833333333333334,12833.333333333334,17333.333333333336
2,3,20.066666666666666,19066.666666666668,23566.666666666668
3,4,29.4,28400.0,32900.0
4,5,38.166666666666664,37166.666666666664,41666.666666666664
5,6,45.56666666666666,44566.666666666664,49066.666666666664
6,7,55.63333333333333,54633.333333333336,59133.333333333336
