epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.236,1.39183,1.35057,1.36775,0.80052,0.2406,0.32155,0.17709,1.82448,3.73835,1.85959,0.0700679,0.00332579,0.00332579
2,213.223,1.25497,0.95255,1.26377,0.95362,0.74724,0.8644,0.56333,1.05901,1.53772,1.20122,0.0400547,0.00664594,0.00664594
3,316.052,1.15136,0.83547,1.2013,0.8758,0.75595,0.87815,0.55633,0.98408,2.20164,1.17165,0.0100283,0.00995289,0.00995289
4,418.067,1.08252,0.72735,1.16549,0.87327,0.85881,0.89868,0.58217,0.8872,1.21315,1.06309,0.0099406,0.0099406,0.0099406
5,520.215,1.03887,0.68725,1.1362,0.88263,0.91324,0.93922,0.63751,0.87123,0.90068,1.04475,0.0099208,0.0099208,0.0099208
6,622.43,1.01562,0.65658,1.12806,0.98175,0.8955,0.9669,0.66643,0.81061,0.56651,1.04056,0.009901,0.009901,0.009901
7,724.636,0.99612,0.62914,1.11876,0.9581,0.96024,0.98165,0.66804,0.903,0.6822,1.05959,0.0098812,0.0098812,0.0098812
8,826.787,0.9442,0.59876,1.08741,0.96779,0.95286,0.97311,0.69768,0.72641,0.47295,0.98903,0.0098614,0.0098614,0.0098614
9,928.931,0.95032,0.58063,1.09002,0.94068,0.95693,0.97156,0.66098,0.79879,0.53217,0.99361,0.0098416,0.0098416,0.0098416
10,1031.05,0.92942,0.55855,1.07697,0.94181,0.95793,0.98142,0.66802,0.79832,0.48483,1.00454,0.0098218,0.0098218,0.0098218
11,1133.03,0.92129,0.54527,1.07831,0.95957,0.87448,0.96533,0.67516,0.77135,0.66705,0.99379,0.009802,0.009802,0.009802
12,1235.07,0.90442,0.53563,1.07058,0.97081,0.93489,0.97346,0.67709,0.71383,0.48422,0.98043,0.0097822,0.0097822,0.0097822
13,1337.12,0.90793,0.53185,1.07269,0.97871,0.93477,0.97376,0.67839,0.78136,0.50271,0.99288,0.0097624,0.0097624,0.0097624
14,1439.23,0.89781,0.52335,1.06562,0.97182,0.94856,0.9711,0.69534,0.74076,0.43016,0.98172,0.0097426,0.0097426,0.0097426
15,1541.25,0.8737,0.51521,1.06121,0.95853,0.97195,0.98504,0.70559,0.71388,0.41858,0.98008,0.0097228,0.0097228,0.0097228
16,1643.56,0.87629,0.50381,1.06391,0.962,0.91979,0.97638,0.69299,0.71498,0.48742,0.97285,0.009703,0.009703,0.009703
17,1745.58,0.86501,0.49675,1.04913,0.96895,0.9666,0.98688,0.71741,0.72968,0.41581,0.98452,0.0096832,0.0096832,0.0096832
18,1848.01,0.86339,0.4904,1.05186,0.97741,0.94021,0.97425,0.68934,0.73267,0.40077,0.98159,0.0096634,0.0096634,0.0096634
19,1950.11,0.83947,0.48007,1.04343,0.99111,0.95415,0.98266,0.71439,0.69795,0.40843,0.97496,0.0096436,0.0096436,0.0096436
20,2052.25,0.84271,0.47839,1.04126,0.97291,0.96206,0.98342,0.70414,0.69924,0.3968,0.97046,0.0096238,0.0096238,0.0096238
